"UNC Product Type / Item Receiving Statistics",,,3/22/10,,,,,,,,,
"Food Bank of Central & Eastern North Carolina",,,,,,,,,,,,
"UNC Product Type Total",810687,,,,,,,,,,,
,,,,,,,,,,,,
"Report Total",28407905,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Order No. ","Document No. ","Item No.","Description","Source No.","Donor","UNC Product Source Code","Posting Date","Lot No.","Expiration Date","Quantity","Unit of Measure","Gross Weight"
"DR09-02598","DR09-02598-1","CD09001","PICKLES ASSORTED - WEIGH",1646,"Mt Olive Pickle Co","LOCAL",7/2/09,73043,12/31/99,47876,"LB",47876
"DS09-01145","DS09-01145-1","SA09001","SALVAGE - WEIGH",1724,"Pepperidge Farms-Dock drop off","A2H LOCAL",7/3/09,74480,12/31/99,139,"LB",139
"DR09-02569","DR09-02569-1","FM09001","CHICKEN PRODUCT ASST. - WEIGH",1613,"MBM Distribution","LOCAL",7/3/09,72898,12/31/99,635,"LB",635
"DR09-02569","DR09-02569-1","FP09002","FROZEN PRODUCT ASST. COMP. - WEIGH",1613,"MBM Distribution","LOCAL",7/3/09,72897,12/31/99,2075,"LB",2075
"DR09-02596","DR09-02596-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",1789,"Sam's Club#8","A2H LOCAL",7/4/09,73040,12/31/99,225,"LB",225
"DR09-02570","DR09-02570-1","FP09001","FROZEN PRODUCT ASST. - WEIGH",2014,"Wal-Mart Distribution Center","A2H LOCAL",7/4/09,72902,12/31/99,775,"LB",775
"DR09-02596","DR09-02596-1","FM09004","MEAT ASSORTED - WEIGH",1789,"Sam's Club#8","A2H LOCAL",7/4/09,73041,12/31/99,810,"LB",810
"DR09-02570","DR09-02570-1","PR09001","FRESH FRUITS - WEIGH",2014,"Wal-Mart Distribution Center","A2H LOCAL",7/4/09,72903,12/31/99,1010,"LB",1010
"DR09-02570","DR09-02570-1","RF09002","REFRIGERATED PRODUCT ASST. COMP. - WEIGH",2014,"Wal-Mart Distribution Center","A2H LOCAL",7/4/09,72900,12/31/99,3440,"LB",3440
"DR09-02593","DR09-02593-1","PR09004","MELONS - WEIGH",1074,"Bonus Freight Donations","LOCAL",7/6/09,73036,12/31/99,9,"LB",9
"DS09-00973","DS09-00973-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2815,"Food Lion # 834","A2H LOCAL",7/6/09,72735,12/31/99,12,"LB",12
"DR09-02579","DR09-02579-1","SK09001","PEPPERIDGE FARMS ASST. SNACKS - WEIGH",1724,"Pepperidge Farms-Dock drop off","A2H LOCAL",7/6/09,72982,12/31/99,20,"LB",20
"DW09-00354","DW09-00354-1","FD09001","FOOD DRIVE - WEIGH",2165,"LOWES FOODS","LOCAL",7/6/09,72755,12/31/99,28,"LB",28
"DR09-02665","DR09-02665-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2980,"Kroger #336","A2H LOCAL",7/6/09,73181,12/31/99,35,"LB",35
"DW09-00354","DW09-00354-1","FD09001","FOOD DRIVE - WEIGH",2165,"LOWES FOODS","LOCAL",7/6/09,72757,12/31/99,46,"LB",46
"DR09-02621","DR09-02621-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1297,"Food Lion 1454","A2H LOCAL",7/6/09,73066,12/31/99,60,"LB",60
"DS09-00970","DS09-00970-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2305,"Lowes Foods - Pinehurst","LOCAL",7/6/09,72729,12/31/99,66,"LB",66
"DR09-02623","DR09-02623-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2401,"Food Lion Store #1685","A2H LOCAL",7/6/09,73069,12/31/99,70,"LB",70
"DR09-02664","DR09-02664-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2976,"Kroger #306","A2H LOCAL",7/6/09,73180,12/31/99,85,"LB",85
"DR09-02666","DR09-02666-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2982,"Kroger #342","A2H LOCAL",7/6/09,73182,12/31/99,85,"LB",85
"DD09-00930","DD09-00930-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2907,"Food Lion # 2593","A2H LOCAL",7/6/09,72777,12/31/99,108,"LB",108
"DS09-00974","DS09-00974-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",1353,"Food Lion 528","A2H LOCAL",7/6/09,72737,12/31/99,113,"LB",113
"DS09-00972","DS09-00972-1","DY09001","DAIRY ASSORTED - WEIGH",2306,"The Fresh Market","LOCAL",7/6/09,72733,12/31/99,115,"LB",115
"DD09-00931","DD09-00931-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1324,"Food Lion 234","A2H LOCAL",7/6/09,72778,12/31/99,117,"LB",117
"DS09-00969","DS09-00969-1","PR09002","VEGETABLES - WEIGH",1340,"Food Lion 353","A2H LOCAL",7/6/09,72728,12/31/99,126,"LB",126
"DS09-00972","DS09-00972-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2306,"The Fresh Market","LOCAL",7/6/09,72732,12/31/99,127,"LB",127
"DW09-00354","DW09-00354-1","FD09001","FOOD DRIVE - WEIGH",2165,"LOWES FOODS","LOCAL",7/6/09,72756,12/31/99,152,"LB",152
"DR09-02620","DR09-02620-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2812,"Food Lion # 815","A2H LOCAL",7/6/09,73065,12/31/99,155,"LB",155
