"UNC Product Type / Item Receiving Statistics",,,3/22/10,,,,,,,,,
"Food Bank of Central & Eastern North Carolina",,,,,,,,,,,,
"UNC Product Type Total",810687,,,,,,,,,,,
,,,,,,,,,,,,
"Report Total",28407905,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Order No. ","Document No. ","Item No.","Description","Source No.","Donor","UNC Product Source Code","Posting Date","Lot No.","Expiration Date","Quantity","Unit of Measure","Gross Weight"
"DG10-00105","DG10-00105-1","SHPR2010","PRODUCE - WEIGH",2904,"Food Lion # 2580","A2H LOCAL",1/31/10,87118,12/31/99,304,"LB",304
"DW10-00117","DW10-00117-1","SHRF2010","REFRIGERATED/DELI - WEIGH",2805,"Food Lion # 742","A2H LOCAL",1/31/10,87223,12/31/99,307,"LB",307
"DG10-00118","DG10-00118-1","SHFP2010","FROZEN - WEIGH",2898,"Food Lion # 2552","A2H LOCAL",1/31/10,87153,12/31/99,354,"LB",354
"DG10-00124","DG10-00124-1","SHFD2010","FOOD DRIVE - WEIGH",2824,"Food Lion # 981","A2H LOCAL",1/31/10,87174,12/31/99,360,"LB",360
"DG10-00102","DG10-00102-1","SHFP2010","FROZEN - WEIGH",2841,"Food Lion # 1291","A2H LOCAL",1/31/10,87107,12/31/99,367,"LB",367
"DG10-00115","DG10-00115-1","SHPR2010","PRODUCE - WEIGH",2904,"Food Lion # 2580","A2H LOCAL",1/31/10,87144,12/31/99,375,"LB",375
"DG10-00123","DG10-00123-1","SHFD2010","FOOD DRIVE - WEIGH",2763,"Food Lion # 146","A2H LOCAL",1/31/10,87169,12/31/99,378,"LB",378
"DW10-00138","DW10-00138-1","SHRF2010","REFRIGERATED/DELI - WEIGH",2897,"Food Lion # 2546","A2H LOCAL",1/31/10,87299,12/31/99,393,"LB",393
"DG10-00102","DG10-00102-1","SHBR2010","BAKED - WEIGH",2841,"Food Lion # 1291","A2H LOCAL",1/31/10,87106,12/31/99,445,"LB",445
"DG10-00105","DG10-00105-1","SHBR2010","BAKED - WEIGH",2904,"Food Lion # 2580","A2H LOCAL",1/31/10,87116,12/31/99,458,"LB",458
"DG10-00098","DG10-00098-1","SHPR2010","PRODUCE - WEIGH",2869,"Food Lion # 1568","A2H LOCAL",1/31/10,87092,12/31/99,460,"LB",460
"DG10-00100","DG10-00100-1","SHPR2010","PRODUCE - WEIGH",2840,"Food Lion # 1282","A2H LOCAL",1/31/10,87100,12/31/99,471,"LB",471
"DG10-00124","DG10-00124-1","SHFP2010","FROZEN - WEIGH",2824,"Food Lion # 981","A2H LOCAL",1/31/10,87173,12/31/99,490,"LB",490
"DG10-00096","DG10-00096-1","SHFP2010","FROZEN - WEIGH",2758,"Food Lion # 102","A2H LOCAL",1/31/10,87087,12/31/99,503,"LB",503
"DW10-00119","DW10-00119-1","SHFD2010","FOOD DRIVE - WEIGH",2816,"Food Lion # 852","A2H LOCAL",1/31/10,87232,12/31/99,519,"LB",519
"DW10-00141","DW10-00141-1","SHBR2010","BAKED - WEIGH",2852,"Food Lion # 1388","A2H LOCAL",1/31/10,87306,12/31/99,530,"LB",530
"DG10-00119","DG10-00119-1","SHBR2010","BAKED - WEIGH",2811,"Food Lion # 779","A2H LOCAL",1/31/10,87155,12/31/99,575,"LB",575
"DG10-00095","DG10-00095-1","SHFP2010","FROZEN - WEIGH",2790,"Food Lion # 486","A2H LOCAL",1/31/10,87084,12/31/99,577,"LB",577
"DG10-00101","DG10-00101-1","SHFP2010","FROZEN - WEIGH",2913,"Food Lion # 2635","A2H LOCAL",1/31/10,87103,12/31/99,578,"LB",578
"DG10-00118","DG10-00118-1","SHBR2010","BAKED - WEIGH",2898,"Food Lion # 2552","A2H LOCAL",1/31/10,87152,12/31/99,596,"LB",596
"DW10-00131","DW10-00131-1","SHRF2010","REFRIGERATED/DELI - WEIGH",2873,"Food Lion # 1606","A2H LOCAL",1/31/10,87274,12/31/99,600,"LB",600
"DG10-00120","DG10-00120-1","SHFP2010","FROZEN - WEIGH",2863,"Food Lion # 1492","A2H LOCAL",1/31/10,87158,12/31/99,615,"LB",615
"DW10-00132","DW10-00132-1","SHFP2010","FROZEN - WEIGH",2874,"Food Lion # 1607","A2H LOCAL",1/31/10,87276,12/31/99,615,"LB",615
"DG10-00111","DG10-00111-1","SHFP2010","FROZEN - WEIGH",1377,"Food Lion 683","A2H LOCAL",1/31/10,87131,12/31/99,631,"LB",631
"DG10-00120","DG10-00120-1","SHBR2010","BAKED - WEIGH",2863,"Food Lion # 1492","A2H LOCAL",1/31/10,87157,12/31/99,640,"LB",640
"DG10-00118","DG10-00118-1","SHPR2010","PRODUCE - WEIGH",2898,"Food Lion # 2552","A2H LOCAL",1/31/10,87154,12/31/99,640,"LB",640
"DG10-00094","DG10-00094-1","SHBR2010","BAKED - WEIGH",2864,"Food Lion # 1494","A2H LOCAL",1/31/10,87081,12/31/99,675,"LB",675
"DG10-00102","DG10-00102-1","SHPR2010","PRODUCE - WEIGH",2841,"Food Lion # 1291","A2H LOCAL",1/31/10,87108,12/31/99,684,"LB",684
"DG10-00112","DG10-00112-1","SHBR2010","BAKED - WEIGH",2839,"Food Lion # 1275","A2H LOCAL",1/31/10,87133,12/31/99,695,"LB",695
"DW10-00126","DW10-00126-1","SHFP2010","FROZEN - WEIGH",2834,"Food Lion # 1212","A2H LOCAL",1/31/10,87255,12/31/99,700,"LB",700
"DG10-00123","DG10-00123-1","SHPR2010","PRODUCE - WEIGH",2763,"Food Lion # 146","A2H LOCAL",1/31/10,87168,12/31/99,700,"LB",700
"DG10-00114","DG10-00114-1","SHBR2010","BAKED - WEIGH",2902,"Food Lion # 2571","A2H LOCAL",1/31/10,87139,12/31/99,735,"LB",735
"DG10-00120","DG10-00120-1","SHPR2010","PRODUCE - WEIGH",2863,"Food Lion # 1492","A2H LOCAL",1/31/10,87159,12/31/99,735,"LB",735
"DG10-00104","DG10-00104-1","SHFP2010","FROZEN - WEIGH",2882,"Food Lion # 1687","A2H LOCAL",1/31/10,87114,12/31/99,740,"LB",740
"DW10-00129","DW10-00129-1","SHBR2010","BAKED - WEIGH",2857,"Food Lion # 1404","A2H LOCAL",1/31/10,87265,12/31/99,753,"LB",753
"DG10-00119","DG10-00119-1","SHPR2010","PRODUCE - WEIGH",2811,"Food Lion # 779","A2H LOCAL",1/31/10,87156,12/31/99,760,"LB",760
"DG10-00103","DG10-00103-1","SHFP2010","FROZEN - WEIGH",2754,"Food Lion # 61","A2H LOCAL",1/31/10,87111,12/31/99,868,"LB",868
"DG10-00112","DG10-00112-1","SHPR2010","PRODUCE - WEIGH",2839,"Food Lion # 1275","A2H LOCAL",1/31/10,87135,12/31/99,895,"LB",895
"DG10-00121","DG10-00121-1","SHFP2010","FROZEN - WEIGH",2824,"Food Lion # 981","A2H LOCAL",1/31/10,87161,12/31/99,914,"LB",914
"DG10-00103","DG10-00103-1","SHBR2010","BAKED - WEIGH",2754,"Food Lion # 61","A2H LOCAL",1/31/10,87110,12/31/99,922,"LB",922
"DW10-00140","DW10-00140-1","SHFP2010","FROZEN - WEIGH",2925,"Food Lion Store #351","A2H LOCAL",1/31/10,87303,12/31/99,937,"LB",937
"DW10-00136","DW10-00136-1","SHPR2010","PRODUCE - WEIGH",2890,"Food Lion # 2116","A2H LOCAL",1/31/10,87290,12/31/99,990,"LB",990
"DW10-00119","DW10-00119-1","SHFP2010","FROZEN - WEIGH",2816,"Food Lion # 852","A2H LOCAL",1/31/10,87229,12/31/99,993,"LB",993
"DW10-00130","DW10-00130-1","SHBR2010","BAKED - WEIGH",2872,"Food Lion # 1593","A2H LOCAL",1/31/10,87269,12/31/99,994,"LB",994
"DW10-00126","DW10-00126-1","SHPR2010","PRODUCE - WEIGH",2834,"Food Lion # 1212","A2H LOCAL",1/31/10,87256,12/31/99,1000,"LB",1000
"DG10-00117","DG10-00117-1","SHPR2010","PRODUCE - WEIGH",2898,"Food Lion # 2552","A2H LOCAL",1/31/10,87151,12/31/99,1097,"LB",1097
"DG10-00115","DG10-00115-1","SHBR2010","BAKED - WEIGH",2904,"Food Lion # 2580","A2H LOCAL",1/31/10,87142,12/31/99,1100,"LB",1100
"DW10-00141","DW10-00141-1","SHPR2010","PRODUCE - WEIGH",2852,"Food Lion # 1388","A2H LOCAL",1/31/10,87308,12/31/99,1110,"LB",1110
"DG10-00121","DG10-00121-1","SHBR2010","BAKED - WEIGH",2824,"Food Lion # 981","A2H LOCAL",1/31/10,87160,12/31/99,1171,"LB",1171
"DW10-00137","DW10-00137-1","SHRF2010","REFRIGERATED/DELI - WEIGH",2893,"Food Lion # 2526","A2H LOCAL",1/31/10,87295,12/31/99,1180,"LB",1180
"DW10-00123","DW10-00123-1","SHFP2010","FROZEN - WEIGH",2826,"Food Lion # 1041","A2H LOCAL",1/31/10,87245,12/31/99,1240,"LB",1240
"DW10-00126","DW10-00126-1","SHBR2010","BAKED - WEIGH",2834,"Food Lion # 1212","A2H LOCAL",1/31/10,87254,12/31/99,1250,"LB",1250
"DG10-00104","DG10-00104-1","SHBR2010","BAKED - WEIGH",2882,"Food Lion # 1687","A2H LOCAL",1/31/10,87113,12/31/99,1259,"LB",1259
"DW10-00132","DW10-00132-1","SHBR2010","BAKED - WEIGH",2874,"Food Lion # 1607","A2H LOCAL",1/31/10,87275,12/31/99,1295,"LB",1295
"DG10-00095","DG10-00095-1","SHPR2010","PRODUCE - WEIGH",2790,"Food Lion # 486","A2H LOCAL",1/31/10,87085,12/31/99,1346,"LB",1346
"DG10-00097","DG10-00097-1","SHBR2010","BAKED - WEIGH",1333,"Food Lion 284","A2H LOCAL",1/31/10,87088,12/31/99,1365,"LB",1365
"DG10-00123","DG10-00123-1","SHFP2010","FROZEN - WEIGH",2763,"Food Lion # 146","A2H LOCAL",1/31/10,87167,12/31/99,1373,"LB",1373
"DW10-00133","DW10-00133-1","SHFP2010","FROZEN - WEIGH",2878,"Food Lion # 1655","A2H LOCAL",1/31/10,87278,12/31/99,1387,"LB",1387
"DW10-00120","DW10-00120-1","SHPR2010","PRODUCE - WEIGH",2819,"Food Lion # 909","A2H LOCAL",1/31/10,87235,12/31/99,1413,"LB",1413
"DW10-00133","DW10-00133-1","SHBR2010","BAKED - WEIGH",2878,"Food Lion # 1655","A2H LOCAL",1/31/10,87277,12/31/99,1443,"LB",1443
"DW10-00119","DW10-00119-1","SHBR2010","BAKED - WEIGH",2816,"Food Lion # 852","A2H LOCAL",1/31/10,87228,12/31/99,1453,"LB",1453
"DG10-00095","DG10-00095-1","SHBR2010","BAKED - WEIGH",2790,"Food Lion # 486","A2H LOCAL",1/31/10,87083,12/31/99,1470,"LB",1470
"DW10-00129","DW10-00129-1","SHFP2010","FROZEN - WEIGH",2857,"Food Lion # 1404","A2H LOCAL",1/31/10,87266,12/31/99,1470,"LB",1470
"DG10-00093","DG10-00093-1","SHBR2010","BAKED - WEIGH",2892,"Food Lion # 2511","A2H LOCAL",1/31/10,87077,12/31/99,1489,"LB",1489
"DW10-00141","DW10-00141-1","SHFP2010","FROZEN - WEIGH",2852,"Food Lion # 1388","A2H LOCAL",1/31/10,87307,12/31/99,1495,"LB",1495
"DG10-00100","DG10-00100-1","SHBR2010","BAKED - WEIGH",2840,"Food Lion # 1282","A2H LOCAL",1/31/10,87098,12/31/99,1539,"LB",1539
"DW10-00120","DW10-00120-1","SHBR2010","BAKED - WEIGH",2819,"Food Lion # 909","A2H LOCAL",1/31/10,87233,12/31/99,1543,"LB",1543
"DW10-00127","DW10-00127-1","SHBR2010","BAKED - WEIGH",2843,"Food Lion # 1327","A2H LOCAL",1/31/10,87257,12/31/99,1561,"LB",1561
"DW10-00117","DW10-00117-1","SHPR2010","PRODUCE - WEIGH",2805,"Food Lion # 742","A2H LOCAL",1/31/10,87222,12/31/99,1563,"LB",1563
"DG10-00100","DG10-00100-1","SHFP2010","FROZEN - WEIGH",2840,"Food Lion # 1282","A2H LOCAL",1/31/10,87099,12/31/99,1598,"LB",1598
"DW10-00128","DW10-00128-1","SHFP2010","FROZEN - WEIGH",2854,"Food Lion # 1392","A2H LOCAL",1/31/10,87263,12/31/99,1610,"LB",1610
"DG10-00109","DG10-00109-1","SHFP2010","FROZEN - WEIGH",2844,"Food Lion # 1332","A2H LOCAL",1/31/10,87127,12/31/99,1615,"LB",1615
"DG10-00108","DG10-00108-1","SHFP2010","FROZEN - WEIGH",2778,"Food Lion # 279","A2H LOCAL",1/31/10,87124,12/31/99,1630,"LB",1630
"DW10-00125","DW10-00125-1","SHRF2010","REFRIGERATED/DELI - WEIGH",2828,"Food Lion # 1073","A2H LOCAL",1/31/10,87253,12/31/99,1630,"LB",1630
"DG10-00114","DG10-00114-1","SHFP2010","FROZEN - WEIGH",2902,"Food Lion # 2571","A2H LOCAL",1/31/10,87140,12/31/99,1635,"LB",1635
"DW10-00140","DW10-00140-1","SHBR2010","BAKED - WEIGH",2925,"Food Lion Store #351","A2H LOCAL",1/31/10,87302,12/31/99,1645,"LB",1645
"DG10-00101","DG10-00101-1","SHBR2010","BAKED - WEIGH",2913,"Food Lion # 2635","A2H LOCAL",1/31/10,87102,12/31/99,1648,"LB",1648
"DG10-00112","DG10-00112-1","SHFP2010","FROZEN - WEIGH",2839,"Food Lion # 1275","A2H LOCAL",1/31/10,87134,12/31/99,1700,"LB",1700
"DW10-00129","DW10-00129-1","SHPR2010","PRODUCE - WEIGH",2857,"Food Lion # 1404","A2H LOCAL",1/31/10,87267,12/31/99,1700,"LB",1700
"DW10-00116","DW10-00116-1","SHBR2010","BAKED - WEIGH",2779,"Food Lion # 294","A2H LOCAL",1/31/10,87216,12/31/99,1705,"LB",1705
"DG10-00103","DG10-00103-1","SHPR2010","PRODUCE - WEIGH",2754,"Food Lion # 61","A2H LOCAL",1/31/10,87112,12/31/99,1727,"LB",1727
"DG10-00101","DG10-00101-1","SHPR2010","PRODUCE - WEIGH",2913,"Food Lion # 2635","A2H LOCAL",1/31/10,87104,12/31/99,1830,"LB",1830
"DW10-00120","DW10-00120-1","SHFP2010","FROZEN - WEIGH",2819,"Food Lion # 909","A2H LOCAL",1/31/10,87234,12/31/99,1845,"LB",1845
"DG10-00116","DG10-00116-1","SHFP2010","FROZEN - WEIGH",2887,"Food Lion # 2108","A2H LOCAL",1/31/10,87146,12/31/99,1855,"LB",1855
"DW10-00136","DW10-00136-1","SHBR2010","BAKED - WEIGH",2890,"Food Lion # 2116","A2H LOCAL",1/31/10,87288,12/31/99,1871,"LB",1871
"DG10-00123","DG10-00123-1","SHBR2010","BAKED - WEIGH",2763,"Food Lion # 146","A2H LOCAL",1/31/10,87166,12/31/99,1895,"LB",1895
"DW10-00122","DW10-00122-1","SHFP2010","FROZEN - WEIGH",2820,"Food Lion # 910","A2H LOCAL",1/31/10,87240,12/31/99,1896,"LB",1896
"DW10-00115","DW10-00115-1","SHBR2010","BAKED - WEIGH",2770,"Food Lion # 221","A2H LOCAL",1/31/10,87211,12/31/99,1985,"LB",1985
"DW10-00130","DW10-00130-1","SHFP2010","FROZEN - WEIGH",2872,"Food Lion # 1593","A2H LOCAL",1/31/10,87270,12/31/99,1995,"LB",1995
"DW10-00117","DW10-00117-1","SHBR2010","BAKED - WEIGH",2805,"Food Lion # 742","A2H LOCAL",1/31/10,87220,12/31/99,1997,"LB",1997
"DW10-00137","DW10-00137-1","SHFP2010","FROZEN - WEIGH",2893,"Food Lion # 2526","A2H LOCAL",1/31/10,87293,12/31/99,2005,"LB",2005
"DG10-00116","DG10-00116-1","SHBR2010","BAKED - WEIGH",2887,"Food Lion # 2108","A2H LOCAL",1/31/10,87145,12/31/99,2026,"LB",2026
"DG10-00093","DG10-00093-1","SHFP2010","FROZEN - WEIGH",2892,"Food Lion # 2511","A2H LOCAL",1/31/10,87078,12/31/99,2028,"LB",2028
"DW10-00124","DW10-00124-1","SHFP2010","FROZEN - WEIGH",2858,"Food Lion # 1406","A2H LOCAL",1/31/10,87248,12/31/99,2195,"LB",2195
"DW10-00128","DW10-00128-1","SHPR2010","PRODUCE - WEIGH",2854,"Food Lion # 1392","A2H LOCAL",1/31/10,87264,12/31/99,2250,"LB",2250
"DW10-00136","DW10-00136-1","SHFP2010","FROZEN - WEIGH",2890,"Food Lion # 2116","A2H LOCAL",1/31/10,87289,12/31/99,2309,"LB",2309
"DG10-00116","DG10-00116-1","SHPR2010","PRODUCE - WEIGH",2887,"Food Lion # 2108","A2H LOCAL",1/31/10,87147,12/31/99,2319,"LB",2319
"DW10-00123","DW10-00123-1","SHBR2010","BAKED - WEIGH",2826,"Food Lion # 1041","A2H LOCAL",1/31/10,87244,12/31/99,2350,"LB",2350
"DW10-00137","DW10-00137-1","SHBR2010","BAKED - WEIGH",2893,"Food Lion # 2526","A2H LOCAL",1/31/10,87292,12/31/99,2380,"LB",2380
"DW10-00116","DW10-00116-1","SHFP2010","FROZEN - WEIGH",2779,"Food Lion # 294","A2H LOCAL",1/31/10,87217,12/31/99,2402,"LB",2402
"DW10-00121","DW10-00121-1","SHFP2010","FROZEN - WEIGH",2832,"Food Lion # 1193","A2H LOCAL",1/31/10,87237,12/31/99,2440,"LB",2440
"DW10-00115","DW10-00115-1","SHFP2010","FROZEN - WEIGH",2770,"Food Lion # 221","A2H LOCAL",1/31/10,87212,12/31/99,2458,"LB",2458
"DW10-00115","DW10-00115-1","SHPR2010","PRODUCE - WEIGH",2770,"Food Lion # 221","A2H LOCAL",1/31/10,87213,12/31/99,2470,"LB",2470
"DG10-00114","DG10-00114-1","SHPR2010","PRODUCE - WEIGH",2902,"Food Lion # 2571","A2H LOCAL",1/31/10,87141,12/31/99,2532,"LB",2532
"DW10-00127","DW10-00127-1","SHFP2010","FROZEN - WEIGH",2843,"Food Lion # 1327","A2H LOCAL",1/31/10,87258,12/31/99,2541,"LB",2541
"DW10-00134","DW10-00134-1","SHFP2010","FROZEN - WEIGH",2885,"Food Lion # 1694","A2H LOCAL",1/31/10,87283,12/31/99,2651,"LB",2651
"DW10-00118","DW10-00118-1","SHFP2010","FROZEN - WEIGH",2808,"Food Lion # 743","A2H LOCAL",1/31/10,87226,12/31/99,2687,"LB",2687
"DG10-00117","DG10-00117-1","SHBR2010","BAKED - WEIGH",2898,"Food Lion # 2552","A2H LOCAL",1/31/10,87149,12/31/99,2689,"LB",2689
"DW10-00127","DW10-00127-1","SHPR2010","PRODUCE - WEIGH",2843,"Food Lion # 1327","A2H LOCAL",1/31/10,87259,12/31/99,2694,"LB",2694
"DW10-00131","DW10-00131-1","SHBR2010","BAKED - WEIGH",2873,"Food Lion # 1606","A2H LOCAL",1/31/10,87271,12/31/99,2695,"LB",2695
"DW10-00140","DW10-00140-1","SHPR2010","PRODUCE - WEIGH",2925,"Food Lion Store #351","A2H LOCAL",1/31/10,87304,12/31/99,2695,"LB",2695
"DW10-00125","DW10-00125-1","SHBR2010","BAKED - WEIGH",2828,"Food Lion # 1073","A2H LOCAL",1/31/10,87250,12/31/99,2735,"LB",2735
"DG10-00106","DG10-00106-1","SHBR2010","BAKED - WEIGH",2810,"Food Lion # 775","A2H LOCAL",1/31/10,87119,12/31/99,2780,"LB",2780
"DW10-00135","DW10-00135-1","SHFP2010","FROZEN - WEIGH",2889,"Food Lion # 2114","A2H LOCAL",1/31/10,87285,12/31/99,2780,"LB",2780
"DW10-00123","DW10-00123-1","SHPR2010","PRODUCE - WEIGH",2826,"Food Lion # 1041","A2H LOCAL",1/31/10,87246,12/31/99,2800,"LB",2800
"DW10-00131","DW10-00131-1","SHPR2010","PRODUCE - WEIGH",2873,"Food Lion # 1606","A2H LOCAL",1/31/10,87273,12/31/99,2840,"LB",2840
"DG10-00109","DG10-00109-1","SHPR2010","PRODUCE - WEIGH",2844,"Food Lion # 1332","A2H LOCAL",1/31/10,87128,12/31/99,2940,"LB",2940
"DG10-00107","DG10-00107-1","SHBR2010","BAKED - WEIGH",2865,"Food Lion # 1495","A2H LOCAL",1/31/10,87121,12/31/99,3000,"LB",3000
"DW10-00125","DW10-00125-1","SHPR2010","PRODUCE - WEIGH",2828,"Food Lion # 1073","A2H LOCAL",1/31/10,87252,12/31/99,3050,"LB",3050
"DG10-00109","DG10-00109-1","SHBR2010","BAKED - WEIGH",2844,"Food Lion # 1332","A2H LOCAL",1/31/10,87126,12/31/99,3060,"LB",3060
"DG10-00117","DG10-00117-1","SHFP2010","FROZEN - WEIGH",2898,"Food Lion # 2552","A2H LOCAL",1/31/10,87150,12/31/99,3067,"LB",3067
"DW10-00125","DW10-00125-1","SHFP2010","FROZEN - WEIGH",2828,"Food Lion # 1073","A2H LOCAL",1/31/10,87251,12/31/99,3100,"LB",3100
"DW10-00116","DW10-00116-1","SHPR2010","PRODUCE - WEIGH",2779,"Food Lion # 294","A2H LOCAL",1/31/10,87218,12/31/99,3129,"LB",3129
"DG10-00094","DG10-00094-1","SHFP2010","FROZEN - WEIGH",2864,"Food Lion # 1494","A2H LOCAL",1/31/10,87082,12/31/99,3132,"LB",3132
"DW10-00137","DW10-00137-1","SHPR2010","PRODUCE - WEIGH",2893,"Food Lion # 2526","A2H LOCAL",1/31/10,87294,12/31/99,3140,"LB",3140
"DG10-00108","DG10-00108-1","SHBR2010","BAKED - WEIGH",2778,"Food Lion # 279","A2H LOCAL",1/31/10,87123,12/31/99,3150,"LB",3150
"DW10-00128","DW10-00128-1","SHBR2010","BAKED - WEIGH",2854,"Food Lion # 1392","A2H LOCAL",1/31/10,87262,12/31/99,3150,"LB",3150
"DW10-00131","DW10-00131-1","SHFP2010","FROZEN - WEIGH",2873,"Food Lion # 1606","A2H LOCAL",1/31/10,87272,12/31/99,3295,"LB",3295
"DG10-00113","DG10-00113-1","SHBR2010","BAKED - WEIGH",2898,"Food Lion # 2552","A2H LOCAL",1/31/10,87136,12/31/99,3406,"LB",3406
"DW10-00134","DW10-00134-1","SHBR2010","BAKED - WEIGH",2885,"Food Lion # 1694","A2H LOCAL",1/31/10,87282,12/31/99,3453,"LB",3453
"DW10-00122","DW10-00122-1","SHBR2010","BAKED - WEIGH",2820,"Food Lion # 910","A2H LOCAL",1/31/10,87239,12/31/99,3502,"LB",3502
"DW10-00117","DW10-00117-1","SHFP2010","FROZEN - WEIGH",2805,"Food Lion # 742","A2H LOCAL",1/31/10,87221,12/31/99,3523,"LB",3523
"DG10-00122","DG10-00122-1","SHBR2010","BAKED - WEIGH",2881,"Food Lion # 1674","A2H LOCAL",1/31/10,87162,12/31/99,3682,"LB",3682
"DW10-00135","DW10-00135-1","SHPR2010","PRODUCE - WEIGH",2889,"Food Lion # 2114","A2H LOCAL",1/31/10,87286,12/31/99,3735,"LB",3735
"DW10-00138","DW10-00138-1","SHPR2010","PRODUCE - WEIGH",2897,"Food Lion # 2546","A2H LOCAL",1/31/10,87298,12/31/99,3748,"LB",3748
"DW10-00124","DW10-00124-1","SHPR2010","PRODUCE - WEIGH",2858,"Food Lion # 1406","A2H LOCAL",1/31/10,87249,12/31/99,4060,"LB",4060
"DG10-00122","DG10-00122-1","SHPR2010","PRODUCE - WEIGH",2881,"Food Lion # 1674","A2H LOCAL",1/31/10,87163,12/31/99,4233,"LB",4233
"DW10-00121","DW10-00121-1","SHPR2010","PRODUCE - WEIGH",2832,"Food Lion # 1193","A2H LOCAL",1/31/10,87238,12/31/99,4400,"LB",4400
"DG10-00107","DG10-00107-1","SHFP2010","FROZEN - WEIGH",2865,"Food Lion # 1495","A2H LOCAL",1/31/10,87122,12/31/99,4550,"LB",4550
"DG10-00106","DG10-00106-1","SHFP2010","FROZEN - WEIGH",2810,"Food Lion # 775","A2H LOCAL",1/31/10,87120,12/31/99,4840,"LB",4840
"DW10-00122","DW10-00122-1","SHPR2010","PRODUCE - WEIGH",2820,"Food Lion # 910","A2H LOCAL",1/31/10,87241,12/31/99,5038,"LB",5038
"DG10-00113","DG10-00113-1","SHFP2010","FROZEN - WEIGH",2898,"Food Lion # 2552","A2H LOCAL",1/31/10,87137,12/31/99,5150,"LB",5150
"DG10-00108","DG10-00108-1","SHPR2010","PRODUCE - WEIGH",2778,"Food Lion # 279","A2H LOCAL",1/31/10,87125,12/31/99,5280,"LB",5280
"DW10-00135","DW10-00135-1","SHBR2010","BAKED - WEIGH",2889,"Food Lion # 2114","A2H LOCAL",1/31/10,87284,12/31/99,5295,"LB",5295
"DW10-00118","DW10-00118-1","SHBR2010","BAKED - WEIGH",2808,"Food Lion # 743","A2H LOCAL",1/31/10,87225,12/31/99,5521,"LB",5521
"DW10-00118","DW10-00118-1","SHPR2010","PRODUCE - WEIGH",2808,"Food Lion # 743","A2H LOCAL",1/31/10,87227,12/31/99,5662,"LB",5662
"DW10-00138","DW10-00138-1","SHFP2010","FROZEN - WEIGH",2897,"Food Lion # 2546","A2H LOCAL",1/31/10,87297,12/31/99,6299,"LB",6299
"DW10-00121","DW10-00121-1","SHBR2010","BAKED - WEIGH",2832,"Food Lion # 1193","A2H LOCAL",1/31/10,87236,12/31/99,6350,"LB",6350
"DW10-00124","DW10-00124-1","SHBR2010","BAKED - WEIGH",2858,"Food Lion # 1406","A2H LOCAL",1/31/10,87247,12/31/99,7600,"LB",7600
"DW10-00138","DW10-00138-1","SHBR2010","BAKED - WEIGH",2897,"Food Lion # 2546","A2H LOCAL",1/31/10,87296,12/31/99,11833,"LB",11833
"DS10-00109","DS10-00109-1","SA10001","SALVAGE - WEIGH",3015,"Wal-Mart Supercenter #1010","A2H LOCAL",2/1/10,87024,12/31/99,24,"LB",24
"DG10-00086","DG10-00086-1","FP10001","FROZEN PRODUCT ASST. - WEIGH",3024,"Wal-Mart Supercenter #1300","A2H LOCAL",2/1/10,87011,12/31/99,26,"LB",26
"DS10-00113","DS10-00113-1","FD10001","FOOD DRIVE - WEIGH",1586,"LOCAL FOOD DRIVES","LOCAL",2/1/10,87028,12/31/99,30,"LB",30
"DW10-00110","DW10-00110-1","MI10001","MISC. FOOD - WEIGH",2199,"Wal-Mart Supercenter #1767","A2H LOCAL",2/1/10,87195,12/31/99,30,"LB",30
"DW10-00113","DW10-00113-1","BR10001","BREAD AND BAKED GOODS - WEIGH",2314,"Wal-Mart Supercenter #4273","A2H LOCAL",2/1/10,87200,12/31/99,32,"LB",32
"DS10-00116","DS10-00116-1","BR10001","BREAD AND BAKED GOODS - WEIGH",2305,"Lowes Foods - Pinehurst","LOCAL",2/1/10,87033,12/31/99,38,"LB",38
"DR10-00354","DR10-00354-1","SK10001","SNACKS ASSORTED - WEIGH",1724,"Pepperidge Farms-Dock drop off","A2H LOCAL",2/1/10,87583,12/31/99,40,"LB",40
"DS10-00114","DS10-00114-1","BR10001","BREAD AND BAKED GOODS - WEIGH",1340,"Food Lion 353","A2H LOCAL",2/1/10,87031,12/31/99,42,"LB",42
"DW10-00113","DW10-00113-1","RF10001","REFRIGERATED FOOD ASST. - WEIGH",2314,"Wal-Mart Supercenter #4273","A2H LOCAL",2/1/10,87202,12/31/99,44,"LB",44
"DR10-00382","DR10-00382-1","RM10001","RETAIL MEAT - WEIGH",2984,"Kroger #355","A2H LOCAL",2/1/10,87863,12/31/99,45,"LB",45
"DS10-00108","DS10-00108-1","SA10001","SALVAGE - WEIGH",2211,"Wal-Mart Supercenter #1774","A2H LOCAL",2/1/10,87023,12/31/99,46,"LB",46
"DS10-00118","DS10-00118-1","MI10001","MISC. FOOD - WEIGH",3015,"Wal-Mart Supercenter #1010","A2H LOCAL",2/1/10,87311,12/31/99,47,"LB",47
"DW10-00114","DW10-00114-1","FP10001","FROZEN PRODUCT ASST. - WEIGH",2228,"Wal-Mart Supercenter #2772","A2H LOCAL",2/1/10,87208,12/31/99,48,"LB",48
